date,sku,forecast_demand,actual_demand,inventory_level,lead_time,demand_diff,demand_rolling_mean,demand_zscore,inventory_diff,inventory_rolling_mean,lead_time_diff,lead_time_rolling_mean,demand_anomaly,inventory_anomaly,lead_time_anomaly,internal_anomaly
2024-01-07,SKU_A,106.21371395130372,104.81587963380518,927.7510843946744,6.617799349492628,-10.756188179932778,103.21273657903636,0.1739529721550004,-10.481587963380775,959.6682458863232,-0.9727270911210651,6.9975929878172,False,False,False,False
2024-01-08,SKU_A,107.20557579362756,123.09657347485432,915.4414270471892,6.548506910414706,18.280693841049143,106.08933997671976,1.4314364922092544,-12.3096573474852,949.0593118886516,-0.0692924390779223,7.107565149031136,False,False,False,False
2024-01-09,SKU_A,108.17746641808748,96.6465977544554,905.7767672717436,7.742239078260742,-26.449975720398925,107.04220055642956,-0.9836316147514792,-9.66465977544567,938.3550918330084,1.1937321678460364,7.103565317408278,False,False,False,False
2024-01-10,SKU_A,109.1266920997187,101.1953138449815,895.6572358872454,6.326942387191485,4.548716090526099,106.8262851211948,-0.5269135404434468,-10.119531384498146,927.6724633208888,-1.4152966910692577,7.113905603003308,False,False,False,False
2024-01-11,SKU_A,110.0506219324794,105.67094471618276,885.0901414156272,7.71149613970197,4.475630871201261,108.52576533179798,-0.3139869313363324,-10.567094471618248,916.819886787709,1.3845537525104854,7.134489930233372,False,False,False,False
2024-01-12,SKU_A,110.94669512115914,99.58939501478436,875.1312019141487,5.841086958555763,-6.0815497013984015,106.65525317897163,-0.748916901120603,-9.958939501478426,906.154361469812,-1.870409181146207,6.911228180604427,False,False,False,False
2024-01-13,SKU_A,111.81242807896548,99.36063309496164,865.1951386046526,6.485221604851191,-0.2287619198227162,104.33933393343216,-0.5623785579955572,-9.936063309496149,895.7204280764688,0.6441346462954272,6.7533274897812126,False,False,False,False
2024-01-14,SKU_A,112.64542131111716,108.6899911476872,854.3261394898839,7.185245271032303,9.329358052725553,104.8927784354153,0.4215640666554019,-10.868999114768712,885.2311502329272,0.7000236661811128,6.834391192858308,False,False,False,False
2024-01-15,SKU_A,113.44336606536528,108.4976560035826,843.4763738895256,6.138814653729131,-0.1923351441045895,102.8072187966622,1.1866506403074903,-10.849765600358296,874.9504283532609,-1.046430617303172,6.775863727617513,False,False,False,False
2024-01-16,SKU_A,114.20405073100903,107.01347101931444,832.7750267875941,7.106815111845263,-1.4841849842681685,104.28820069164206,0.6598117977066891,-10.701347101931448,864.5216082840968,0.9680004581161316,6.685088875272443,False,False,False,False
2024-01-17,SKU_A,114.92536696867094,110.21269092161243,821.7537576954328,6.964452647232184,3.199219902297997,105.57639741687504,1.0531706404378711,-11.021269092161331,853.9639685424092,-0.142362464613079,6.776161769563972,False,False,False,False
2024-01-18,SKU_A,115.60531555384158,114.67992698584692,810.2857649968482,6.096426241863037,4.467236064234484,106.86339488396992,1.3980838846967607,-11.467992698584569,843.2776290540123,-0.8680264053691467,6.545437498444124,False,False,False,False
2024-01-19,SKU_A,116.24201191799791,103.7335649536964,799.9124085014785,6.882916742475014,-10.946362032150518,107.4554191609574,-0.7651067997709027,-10.373356495369762,832.5320871379165,0.7864905006119765,6.694270324718303,False,False,False,False
2024-01-20,SKU_A,116.83369137193738,106.62365755329944,789.2500427461486,7.918903068389036,2.8900925996030367,108.49299408357706,-0.5488170779652857,-10.662365755329915,821.6827877295589,1.0359863259140225,6.899081962366567,False,False,False,False
2024-01-21,SKU_A,117.37871399685,95.34420996951197,779.7156217491975,7.408417884645235,-11.279447583787473,106.58645391526632,-1.869310327450316,-9.534420996951098,811.0241423380322,-0.5104851837438007,6.930963764311271,False,False,False,False
2024-01-22,SKU_A,117.87556918957311,123.3026534802204,767.3853564011754,5.54628412055385,27.958443510708435,108.701453554786,1.6648922166372917,-12.330265348022069,800.1539969825536,-1.8621337640913855,6.84631654528623,False,False,False,False
2024-01-23,SKU_A,118.32287984943012,110.61238786421708,756.3241176147536,5.604366819223186,-12.690265616003316,109.21558453262924,0.159450723116989,-11.061238786421768,789.2324385292907,0.0580826986693363,6.631681074911649,False,False,False,False
2024-01-24,SKU_A,118.71940619504936,119.9015763244324,744.3339599823104,7.568962175911525,9.289188460215314,110.59971101874638,0.9626445636379636,-11.990157632443244,778.1724674274161,1.9645953566883396,6.718039579008697,False,False,False,False
2024-01-25,SKU_A,119.06404920058422,126.23028680406767,731.7109313019037,6.17711449504504,6.328710479635276,112.24976242134936,1.2350489816535886,-12.62302868040672,766.9474911852811,-1.3918476808664852,6.729566472320412,False,False,False,False
2024-01-26,SKU_A,119.35585364181028,121.23606736766878,719.5873245651368,7.007153080551121,-4.994219436398893,114.75011990905968,0.5866915009106402,-12.123606736766874,755.4724791943752,0.830038585506081,6.747314520616999,False,False,False,False
2024-01-27,SKU_A,119.5940107436572,113.12170819632097,708.2751537455047,8.262943053610172,-8.114359171347814,115.67841285806276,-0.2430597637522155,-11.312170819632115,743.9046379085687,1.2557899730590512,6.796463089934305,False,False,False,False
2024-01-28,SKU_A,119.77786042183703,140.574850377123,694.2176687077924,6.797549711548291,27.453142180802036,122.13993291629288,1.878298264378957,-14.05748503771224,731.6906446169395,-1.4653933420618817,6.709196208063312,False,False,False,False
2024-01-29,SKU_A,119.9068931123563,132.46499613305787,680.9711690944866,6.523337553856539,-8.109854244065133,123.4488390095554,0.8524344284844828,-13.246499613305788,719.345760715984,-0.2742121576917515,6.848775269963697,False,False,False,False
2024-01-30,SKU_A,119.9807511838406,121.91698908187202,668.7794701862994,6.415377057473352,-10.548007051185849,125.06378204064896,-0.3480193715964114,-12.191698908187275,706.8393825119192,-0.1079604963831872,6.964633875428006,False,False,False,False
2024-01-31,SKU_A,119.99922992875808,112.59026669746018,657.5204435165533,7.148221788686529,-9.326722384411838,124.0193092367958,-1.1317817151844385,-11.25902666974605,694.4374515882395,0.7328447312131772,6.9045281058244345,False,False,False,False
2024-02-01,SKU_A,119.96227813079358,126.01691585602038,644.9187519309513,5.559859884690113,13.426649158560195,123.98882767278904,0.200983730490693,-12.601691585601998,682.0385688209606,-1.5883619039964163,6.816348875773731,False,False,False,False
2024-02-02,SKU_A,119.8699982068016,119.5153985293403,632.9672120780173,5.382394297802484,-6.501517326680073,123.74301783874212,-0.4148989626845386,-11.951539852934047,669.6642670370865,-0.1774655868876289,6.58424047823821,False,False,False,False
